name,pdfPage,printedPage,y,inApp
ACK,125,3-5,112,no
ABS,125,3-5,439,yes
ABCUV,125,3-5,730,no
ACOS,126,3-6,457,yes
ACKALL,126,3-6,631,no
ACOS2S,127,3-7,225,yes
ACOSH,128,3-8,644,yes
ADDTMOD,129,3-9,164,no
ADD,129,3-9,464,no
ALOG,130,3-10,247,yes
ALGB,130,3-10,384,no
ADDTOREAL,130,3-10,609,no
AND,131,3-11,544,yes
AMORT,131,3-11,730,no
ANS,132,3-12,130,no
ANIMATE,132,3-12,556,no
ARC,133,3-13,216,no
APPLY,133,3-13,603,no
ARG,134,3-14,291,yes
ARCHIVE,134,3-14,575,no
ASIN,135,3-15,145,yes
→ARRY,135,3-15,354,yes
ARRY→,135,3-15,576,yes
ARIT,135,3-15,724,no
ASINH,137,3-17,250,yes
ASIN2T,137,3-17,463,yes
ASIN2C,137,3-17,635,yes
ASN,138,3-18,515,no
ASSUME,139,3-19,233,no
ASR,139,3-19,496,yes
ATAN,140,3-20,573,yes
ATAN2S,141,3-21,257,yes
ATICK,142,3-22,262,no
ATANH,142,3-22,711,yes
AUGMENT,143,3-23,295,yes
ATTACH,143,3-23,595,no
AXES,144,3-24,103,no
AUTO,144,3-24,687,no
AXM,145,3-25,188,yes
AXL,145,3-25,414,yes
BAR,146,3-26,387,no
AXQ,146,3-26,682,no
BAUD,147,3-27,165,no
BASIS,147,3-27,369,no
BARPLOT,147,3-27,563,no
BIN,148,3-28,286,yes
BESTFIT,148,3-28,441,yes
BEEP,148,3-28,645,no
BOX,149,3-29,193,no
BLANK,149,3-29,341,no
BINS,149,3-29,730,no
BR,150,3-30,106,no
BYTES,150,3-30,382,yes
BUFLEN,150,3-30,623,no
CASCFG,151,3-31,205,no
C2P,151,3-31,416,no
C$,151,3-31,596,no
CASE,152,3-32,602,no
CASCMD,152,3-32,730,no
%CH,153,3-33,176,yes
CF,153,3-33,338,yes
CENTR,153,3-33,535,no
CEIL,153,3-33,730,no
CHOLESKY,154,3-34,226,yes
CHINREM,154,3-34,507,no
CHR,155,3-35,121,yes
CHOOSE,155,3-35,597,no
CKSM,156,3-36,313,no
CIRC,156,3-36,526,no
CLOSEIO,157,3-37,182,no
CLLCD,157,3-37,369,no
CLKADJ,157,3-37,542,no
CLEAR,157,3-37,730,yes
CNRM,158,3-38,294,yes
CMPLX,158,3-38,394,yes
CLVAR,158,3-38,495,no
CLUSR,158,3-38,576,no
CLΣ,158,3-38,676,no
COL–,159,3-39,283,yes
